<name2> = <val6>	<name2> に <val6> を入れる
<name1> = <val2>	<name1> に <val2> を入れる
<name3> = <val2>	<name3> に <val2> を代入
<name1> = <val2>	<name1> に <val2> を代入
<name3> = <val1>	<val1> を <name3> に入れる
<name1> = <val2>	<val2> を <name1> に入れる
<name4> = <val2>	<val2> を <name4> に代入
<name1> = <val2>	<val2> を <name1> に代入
<name2> = <val3>	<name2> に <val3> を代入する
<name1> = <val2>	<name1> に <val2> を代入する
<name5> = <val1>	<val1> を <name5> に代入する
<name1> = <val2>	<val2> を <name1> に代入する
<name1> = <val2>	<name1> を <val2> とする
<name1> = <val4>	<name1> イコール <val4>
<name1> = <val2>	<name1> イコール <val2>
<name4> = <val3>	<name4> イコール <val3> とする
<name1> = <val2>	<name1> イコール <val2> とする
<name4> = <name2>	<name4> に <name2> を代入する
<name1> = <name2>	<name1> に <name2> を代入する
<name4> = <name2>	<name4> に <name2> を入れる
<name1> = <name2>	<name1> に <name2> を入れる
<name4> = <name6>	<name6> を <name4> に代入
<name1> = <name2>	<name2> を <name1> に代入
<name1> = <name2>	<name2> を <name1> に代入する
<name3> = <name6>	<name6> を <name3> に入れる
<name1> = <name2>	<name2> を <name1> に入れる
<name4> = <name1>	<name4> に <name1> を代入
<name1> = <name2>	<name1> に <name2> を代入
<name1> = <name3>	<name3> を <name1> に代入する
<name1> = <name2>	<name2> を <name1> に代入する
<name5> = <name2>	<name5> に <name2> を代入
<name1> = <name2>	<name1> に <name2> を代入
<name3> = <name1>	<name3> に <name1> を代入する
<name1> = <name2>	<name1> に <name2> を代入する
<name2> = <name3>	<name2> に <name3> を入れる
<name1> = <name2>	<name1> に <name2> を入れる
<name3> = <name6>	<name6> を <name3> に代入
<name1> = <name2>	<name2> を <name1> に代入
<name3> = <name1>	<name1> を <name3> に入れる
<name1> = <name2>	<name2> を <name1> に入れる
<name1> + <name6>	<name1> に <name6> を加えた値
<name1> + <name2>	<name1> に <name2> を加えた値
<name1> + <name4>	<name4> を <name1> に加えた値
<name1> + <name2>	<name2> を <name1> に加えた値
<name1> + <name3>	<name1> に <name3> を加えた値を計算する
<name1> + <name2>	<name1> に <name2> を加えた値を計算する
<name1> + <name2>	<name2> を <name1> に加えた値を求める
<name1> + <name2>	<name1> プラス <name2>
<name2> + <name6>	<name2> たす <name6>
<name1> + <name2>	<name1> たす <name2>
<name6> + <name5>	<name6> 足す <name5>
<name1> + <name2>	<name1> 足す <name2>
<name2> + <name6>	<name2> たす <name6> を算出する
<name1> + <name2>	<name1> たす <name2> を算出する
<name1> + <name5>	<name1> 足す <name5> を求める
<name1> + <name2>	<name1> 足す <name2> を求める
<name6> + <name2>	<name6> プラス <name2> を計算する
<name1> + <name2>	<name1> プラス <name2> を計算する
<name1> + <name5>	<name1> と <name5> の和
<name1> + <name2>	<name1> と <name2> の和
<name5> + <name1>	<name5> と <name1> の和を求める
<name1> + <name2>	<name1> と <name2> の和を求める
<name4> - <name3>	<name4> から <name3> を引いた値
<name1> - <name2>	<name1> から <name2> を引いた値
<name1> - <name6>	<name1> から <name6> を引いた値を計算する
<name1> - <name2>	<name1> から <name2> を引いた値を計算する
<name4> - <name5>	<name4> 引く <name5>
<name1> - <name2>	<name1> 引く <name2>
<name6> - <name3>	<name6> ひく <name3>
<name1> - <name2>	<name1> ひく <name2>
<name3> - <name5>	<name3> マイナス <name5>
