<name2> の符号を持った <name1> を求める	math . copysign ( <name1> , <name2> )	<name1> = <name2> . rsplit ( <name2> )
<name5> が <name6> より小さくないかどうか	not <name5> < <name6>	<name1> = <name2> . rsplit ( <name2> )
<name3> のコピー	<name3> [ : ]	<name1> = <name2> . rsplit ( <name2> )
<name2> の逆双曲線余弦	math . acosh ( <name2> )	<name1> = <name2> . rsplit ( <name2> )
<name1> を全て大文字に変換する	<name1> . upper ( )	<name1> = <name2> . rsplit ( <name2> )
<name4> が <name2> 以上でないかどうか	not <name4> >= <name2>	<name1> = <name2> . rsplit ( <name2> )
<name2> の平方根を <name1> に代入する	<name1> = math . sqrt ( <name2> )	<name1> = <name2> . rsplit ( <name2> )
ソートされた順序を保ったまま <name2> を <name1> に挿入できる位置	bisect . bisect_left ( <name1> , <name2> )	<name1> = <name2> . rsplit ( <name2> )
空の集合を <name1> に代入する	<name1> = set ( )	<name1> = <name2> . rsplit ( <name2> )
<name1> を <name2> で割った剰余を表示する	math . remainder ( <name1> , <name2> )	<name1> = <name2> . rsplit ( <name2> )
<name1> と <name6> の共通部分を求める	<name1> . intersection ( <name6> )	<name1> = <name2> . rsplit ( <name2> )
<name1> と <name2> の差集合	<name1> . difference ( <name2> )	<name1> = <name2> . rsplit ( <name2> )
<name5> から <name2> 個取り出した時の順列の総数を <name6> とする	<name6> = math . perm ( <name5> , <name2> )	<name1> = <name2> . rsplit ( <name2> )
<name6> を全て大文字に変換した結果を <name2> とする	<name2> = <name6> . upper ( )	<name1> = <name2> . rsplit ( <name2> )
<name3> を整数に変換し、 <name2> にする	<name2> = int ( <name3> )	<name1> = <name2> . rsplit ( <name2> )
2 を底とする <name6> の対数	math . log2 ( <name6> )	<name1> = <name2> . rsplit ( <name2> )
<name1> の余弦をチェックする	math . cos ( <name1> )	<name1> = <name2> . rsplit ( <name2> )
<name1> を <name2> 分の一にする	<name1> /= <name2>	<name1> = <name2> . rsplit ( <name2> )
<name2> を全て小文字に変換し、 <name1> に代入する	<name1> = <name2> . lower ( )	<name1> = <name2> . rsplit ( <name2> )
<name5> と <name3> のユークリッド距離を <name2> にする	<name2> = math . dist ( <name5> , <name3> )	<name1> = <name2> . rsplit ( <name2> )
<name6> をリストに変換する	list ( <name6> )	<name1> = <name2> . rsplit ( <name2> )
<name1> 、 <name2> 、 <name3> の中で一番大きい値	max ( <name1> , <name2> , <name3> )	<name1> = <name2> . rsplit ( <name2> )
<name2> を最も近い数値に切り上げ	math . ceil ( <name2> )	<name1> = <name2> . rsplit ( <name2> )
<name3> のバイト列	<name3> . to_bytes ( )	<name1> = <name2> . rsplit ( <name2> )
<name3> の要素を <name1> 、 <name4> の要素を <name2> へ順番に代入して以降のプログラムをループする	for <name1> , <name2> in zip ( <name3> , <name4> ) :	<name1> = <name2> . rsplit ( <name2> )
ユーザから入力を受け取る	input ( )	<name1> = <name2> . rsplit ( <name2> )
空行を出力する	print ( )	<name1> = <name2> . rsplit ( <name2> )
<name2> の余弦を <name1> にする	<name1> = math . cos ( <name2> )	<name1> = <name2> . rsplit ( <name2> )
<name2> を区切り文字として <name1> を分割した結果をリスト型にして返す	<name1> . split ( <name2> )	<name1> = <name2> . rsplit ( <name2> )
<name3> が <name5> よりも小さいとき	if <name3> < <name5> :	<name1> = <name2> . rsplit ( <name2> )
<name3> の後ろから <val5> を探して見つかった位置	<name3> . rfind ( <val5> )	<name1> = <name2> . rsplit ( <name2> )
<name3> と <name2> の最小公倍数を計算する	math . lcm ( <name3> , <name2> )	<name1> = <name2> . rsplit ( <name2> )
<name1> 内の大文字を小文字に変換する	<name1> . lower ( )	<name1> = <name2> . rsplit ( <name2> )
<val1> ~ <name2> の範囲の <val3> つ飛ばしの数列	range ( <val1> , <name2> + <val1> , <val3> )	<name1> = <name2> . rsplit ( <name2> )
