<A> = <B>	<A> に <B> を入れる
<A> = <B>	<A> に <B> を代入
<A> = <B>	<B> を <A> に入れる
<A> = <B>	<B> を <A> に代入
<A> = <B>	<A> に <B> を代入する
<A> = <B>	<B> を <A> に代入する
<A> = <B>	<A> を <B> とする
<A> = <B>	<A> イコール <B>
<A> = <B>	<A> イコール <B> とする
<A> = <B>	<A> に <B> を代入する
<A> = <B>	<A> に <B> を入れる
<A> = <B>	<B> を <A> に代入
<A> = <B>	<B> を <A> に代入する
<A> = <B>	<B> を <A> に入れる
<A> = <B>	<A> に <B> を代入
<A> = <B>	<B> を <A> に代入する
<A> = <B>	<A> に <B> を代入
<A> = <B>	<A> に <B> を代入する
<A> = <B>	<A> に <B> を入れる
<A> = <B>	<B> を <A> に代入
<A> = <B>	<B> を <A> に入れる
<A> + <B>	<A> に <B> を加えた値
<A> + <B>	<B> を <A> に加えた値
<A> + <B>	<A> に <B> を加えた値を計算する
<A> + <B>	<B> を <A> に加えた値を求める
<A> + <B>	<A> プラス <B>
<A> + <B>	<A> たす <B>
<A> + <B>	<A> 足す <B>
<A> + <B>	<A> たす <B> を算出する
<A> + <B>	<A> 足す <B> を求める
<A> + <B>	<A> プラス <B> を計算する
<A> + <B>	<A> と <B> の和
<A> + <B>	<A> と <B> の和を求める
<A> - <B>	<A> から <B> を引いた値
<A> - <B>	<A> から <B> を引いた値を計算する
<A> - <B>	<A> 引く <B>
<A> - <B>	<A> ひく <B>
<A> - <B>	<A> マイナス <B>
<A> - <B>	<A> ひく <B> を算出する
<A> - <B>	<A> マイナス <B> を計算する
<A> - <B>	<A> 引く <B> を算出する
<A> - <B>	<A> と <B> の差
<A> - <B>	<A> と <B> の差を算出する
<A> * <B>	<A> に <B> をかけた値
<A> * <B>	<B> を <A> にかけた値
<A> * <B>	<A> に <B> をかけた値を計算する
<A> * <B>	<B> を <A> にかけた値を算出する
<A> * <B>	<A> かける <B>
<A> * <B>	<A> 掛ける <B>
<A> * <B>	<A> 掛ける <B> を算出する
<A> * <B>	<A> かける <B> を求める
<A> * <B>	<A> と <B> の積
<A> * <B>	<A> と <B> の積を算出する
<A> / <B>	<A> を <B> でわった値
<A> / <B>	<A> を <B> でわった値を求める
<A> / <B>	<A> 割る <B>
<A> / <B>	<A> わる <B>
<A> / <B>	<A> 割る <B> を算出する
<A> / <B>	<A> わる <B> を求める
<A> / <B>	<A> と <B> の商
<A> / <B>	<A> と <B> の商を計算する
<A> / <B>	<B> 分の <A>
<A> / <B>	<B> 分の <A> を算出する
<A> // <B>	<A> を <B> でわった値の整数部分
<A> // <B>	<A> を <B> でわった値の整数部分を求める
<A> ** <B>	<A> の <B> 乗
<A> ** 2	<A> の二乗
<A> ** 2	<A> の二乗を算出する
<A> ** <B>	<A> の <B> 乗を求める
<A> % <B>	<A> を <B> で割った余り
<A> % <B>	<A> を <B> で割ったあまり
<A> % <B>	<A> を <B> で割った余りを求める
<A> % <B>	<A> を <B> で割ったあまりを計算する
<A> % <B>	<A> を <B> で剰余
<A> % <B>	<B> で <A> を剰余
<A> % <B>	<A> を <B> で剰余を計算する
<A> % <B>	<B> で <A> を剰余を求める
<A> % <B>	<A> と <B> の mod
<A> % <B>	<A> と <B> の mod を求める
<A> % <B>	<A> と <B> の割り算の余り
<A> % <B>	<A> と <B> の割り算のあまり
<A> % <B>	<A> と <B> の割り算の余りを計算する
<A> % <B>	<A> と <B> の割り算のあまりを求める
( <A> + <B> - 1 ) // <B>	<A> を <B> で割った結果の切り上げ
( <A> + <B> - 1 ) // <B>	<A> を <B> でわった結果の切り上げ
( <A> + <B> - 1 ) // <B>	<B> で <A> をわった結果の切り上げ
( <A> + <B> - 1 ) // <B>	<B> で <A> を割った結果の切り上げ
( <A> + <B> - 1 ) // <B>	<A> を <B> で割った結果の切り上げを計算する
( <A> + <B> - 1 ) // <B>	<A> を <B> でわった結果の切り上げを算出する
( <A> + <B> - 1 ) // <B>	<B> で <A> を割った結果の切り上げを求める
( <A> + <B> - 1 ) // <B>	<B> で <A> をわった結果の切り上げを計算する
( <A> + <B> - 1 ) // <B>	<A> わる <B> を切り上げる
( <A> + <B> - 1 ) // <B>	<A> 割る <B> を切り上げる
( <A> + <B> - 1 ) // <B>	<A> 割る <B> の切り上げ
( <A> + <B> - 1 ) // <B>	<A> わる <B> の切り上げ
( <A> + <B> - 1 ) // <B>	<A> 割る <B> の切り上げを算出する
( <A> + <B> - 1 ) // <B>	<A> わる <B> の切り上げを求める
( <A> + <B> - 1 ) // <B>	<A> を <B> で割った値を切り上げる
( <A> + <B> - 1 ) // <B>	わった値を <A> を <B> で切り上げる
( <A> + <B> - 1 ) // <B>	<B> で <A> をわった値を切り上げる
( <A> + <B> - 1 ) // <B>	<A> を <B> でわった値を切り上げる
( <A> + <B> - 1 ) // <B>	<A> をわった値を <B> で切り上げる
( <A> + <B> - 1 ) // <B>	割った値を <A> を <B> で切り上げる
( <A> + <B> - 1 ) // <B>	<B> でわった値を <A> を切り上げる
( <A> + <B> - 1 ) // <B>	わった値を <B> で <A> を切り上げる
( <A> + <B> - 1 ) // <B>	<B> で割った値を <A> を切り上げる
( <A> + <B> - 1 ) // <B>	<B> で <A> を割った値を切り上げる
( <A> + <B> - 1 ) // <B>	<A> を割った値を <B> で切り上げる
( <A> + <B> - 1 ) // <B>	割った値を <B> で <A> を切り上げる
<A> & <B>	<A> と <B> の論理積
<A> & <B>	<A> と <B> の論理積を計算する
<A> | <B>	<A> と <B> の論理和
<A> | <B>	<A> と <B> の論理和を算出する
x ^ <A>	a と <A> の排他的論理和
x ^ <A>	a と <A> の排他的論理和を計算する
<A> << <B>	<A> を <B> だけシフトした左シフト値
<A> << <B>	<A> を <B> だけシフトした左シフト値を計算する
<A> >> <B>	<A> を <B> だけシフトした右シフト値
<A> >> <B>	<A> を <B> だけシフトした右シフト値を算出する
<A> += <B>	<A> を <B> だけ増加させる
<A> += <B>	<A> を <B> だけ大きくする
<A> += <B>	<A> を <B> だけ増やす
<A> += <B>	<A> に <B> を足して代入する
<A> += <B>	<B> を <A> に足して代入する
<A> += <B>	<A> に <B> を足して入れる
<A> += <B>	<B> を <A> に足して入れる
<A> += <B>	<A> に <B> を足して代入
<A> += <B>	<B> を <A> に足して代入
<A> += <B>	<A> と <B> の値を足して <A> に代入する
<A> += <B>	<A> と <B> の値を足して <A> に代入
<A> += <B>	<A> と <B> の値を足して <A> に入れる
<A> += <B>	<A> 足す <B> の値を <A> に代入する
<A> += <B>	<A> 足す <B> の値を <A> に入れる
<A> += <B>	<A> たす <B> の値を <A> に入れる
<A> += <B>	<A> たす <B> の値を <A> に代入
<A> += <B>	<A> たす <B> の値を <A> に代入する
<A> += <B>	<A> 足す <B> の値を <A> に代入
<A> -= <B>	<A> を <B> だけ減少させる
<A> -= <B>	<A> を <B> だけ減らす
<A> -= <B>	<A> を <B> だけ小さくする
<A> -= <B>	<A> から <B> の値を引いて <A> に代入する
<A> -= <B>	<A> から <B> の値を引いて <A> に入れる
<A> -= <B>	<A> から <B> を引いて <A> に代入
<A> -= <B>	<A> から <B> を引いて <A> に代入する
<A> -= <B>	<A> から <B> の値を引いて <A> に代入
<A> -= <B>	<A> から <B> を引いて <A> に入れる
<A> -= <B>	<A> ひく <B> の値を <A> に代入する
<A> -= <B>	<A> 引く <B> の値を <A> に入れる
<A> -= <B>	<A> ひく <B> の値を <A> に代入
<A> -= <B>	<A> ひく <B> の値を <A> に入れる
<A> -= <B>	<A> 引く <B> の値を <A> に代入する
<A> -= <B>	<A> 引く <B> の値を <A> に代入
<A> *= <B>	<A> を <B> 倍にする
<A> *= <B>	<B> 倍に <A> をする
<A> *= <B>	<A> に <B> をかけた値を <A> に代入する
<A> *= <B>	<A> に <B> を <A> にかけた値を入れる
<A> *= <B>	<B> を <A> にかけた値を <A> に代入する
<A> *= <B>	<A> に <A> に <B> をかけた値を代入
<A> *= <B>	<B> を <A> にかけた値を <A> に代入
<A> *= <B>	<A> に <B> をかけた値を <A> に入れる
<A> *= <B>	<A> に <B> を <A> にかけた値を代入する
<A> *= <B>	<A> に <B> をかけた値を <A> に代入
<A> *= <B>	<A> に <A> に <B> をかけた値を代入する
<A> *= <B>	<A> に <A> に <B> をかけた値を入れる
<A> *= <B>	<B> を <A> にかけた値を <A> に入れる
<A> *= <B>	<A> に <B> を <A> にかけた値を代入
<A> ** = <B>	<A> を <B> 乗する
<A> /= <B>	<A> を <B> 分の一にする
<A> // = <B>	<A> を <B> 分の一にする
<A> % = <B>	<A> を <B> で割った余りを <A> に代入する
<A> % = <B>	<A> に <A> を <B> でわったあまりを代入
<A> % = <B>	<A> を <B> でわったあまりを <A> に入れる
<A> % = <B>	<A> を <B> で割った余りを <A> に入れる
<A> % = <B>	<A> に <A> を <B> で割った余りを入れる
<A> % = <B>	<A> を <B> でわったあまりを <A> に代入
<A> % = <B>	<A> に <A> を <B> で割った余りを代入する
<A> % = <B>	<A> に <A> を <B> でわったあまりを入れる
abs ( <A> )	<A> の絶対値
abs ( <A> )	<A> の絶対値を計算する
complex ( <A> )	<A> の複素数
complex ( <A> )	<A> の複素数を算出する
complex ( <A> , <B> )	<A> を実部 <B> を虚部とした複素数
complex ( <A> , <B> )	実部 <B> を <A> を虚部とした複素数
complex ( <A> , <B> )	<A> を実部 <B> を虚部とした複素数を計算する
complex ( <A> , <B> )	実部 <B> を <A> を虚部とした複素数を計算する
divmod ( <A> , <B> )	<A> を <B> で割ったときの商と余りの組
divmod ( <A> , <B> )	<A> を <B> でわったときの商と余りの組
divmod ( <A> , <B> )	<A> を <B> で割ったときの商と剰余の組
divmod ( <A> , <B> )	<A> を <B> で割ったときの商とあまりの組
divmod ( <A> , <B> )	<A> を <B> でわったときの商と剰余の組
divmod ( <A> , <B> )	<A> を <B> でわったときの商とあまりの組
divmod ( <A> , <B> )	<A> を <B> で割ったときの商と剰余の組を求める
divmod ( <A> , <B> )	<A> を <B> で割ったときの商とあまりの組を計算する
divmod ( <A> , <B> )	<A> を <B> でわったときの商と剰余の組を算出する
divmod ( <A> , <B> )	<A> を <B> でわったときの商とあまりの組を求める
divmod ( <A> , <B> )	<A> を <B> で割ったときの商と余りの組を算出する
divmod ( <A> , <B> )	<A> を <B> でわったときの商と余りの組を算出する
divmod ( <A> , <B> )	<A> と <B> の商と剰余の組
divmod ( <A> , <B> )	<A> と <B> の商と余りの組
divmod ( <A> , <B> )	<A> と <B> の商と剰余の組を算出する
divmod ( <A> , <B> )	<A> と <B> の商と余りの組を算出する
hash ( <A> )	<A> のハッシュ値
hash ( <A> )	<A> のハッシュ値を計算する
